directory,file_path,file_name,file_size,modified_time,scan_time,is_error_log,error_content
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\apple.fbx,apple.fbx,2930832,2026-01-20 15:01:49,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\apple.stl,apple.stl,6212184,2026-01-20 15:01:50,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\bottle.fbx,bottle.fbx,19007072,2026-01-20 15:01:53,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\bottle.stl,bottle.stl,35117984,2026-01-20 15:01:58,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\bowl.fbx,bowl.fbx,2584848,2026-01-20 15:01:58,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\bowl.stl,bowl.stl,5714184,2026-01-20 15:01:59,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cola_modern_330.fbx,cola_modern_330.fbx,2915088,2026-01-20 15:02:00,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cola_modern_330.stl,cola_modern_330.stl,6100284,2026-01-20 15:02:01,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\duck.fbx,duck.fbx,3193712,2026-01-20 15:02:02,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\duck.stl,duck.stl,6638684,2026-01-20 15:02:02,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\elephant.fbx,elephant.fbx,3352096,2026-01-20 15:02:03,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\elephant.stl,elephant.stl,6874784,2026-01-20 15:02:04,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup.fbx,mugcup.fbx,2977456,2026-01-20 15:02:05,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup.stl,mugcup.stl,6363584,2026-01-20 15:02:06,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\telescope.fbx,telescope.fbx,3424336,2026-01-20 15:02:07,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\telescope.stl,telescope.stl,6985984,2026-01-20 15:02:08,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\antagen_dishwashing_brush_40534227_Y-Up.stl,antagen_dishwashing_brush_40534227_Y-Up.stl,1191384,2026-01-06 19:37:16,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\finmat_spatula_90555199.stl,finmat_spatula_90555199.stl,3667084,2026-01-20 16:21:12,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\saucepan_with_lid_517569_part02.stl,saucepan_with_lid_517569_part02.stl,1952484,2026-01-20 16:18:14,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\saucepan_with_lid_517569_part01.stl,saucepan_with_lid_517569_part01.stl,1733984,2026-01-20 16:14:08,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\strimmig_bowl_567663.stl,strimmig_bowl_567663.stl,1360884,2026-01-20 15:13:52,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\krustistel_deep_plate_40595150.stl,krustistel_deep_plate_40595150.stl,2335684,2026-01-20 14:48:16,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\gladelig_oven _dish_00531075.stl,gladelig_oven _dish_00531075.stl,1433884,2026-01-15 17:26:38,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\gladelig_oven_dish_00531075.stl,gladelig_oven_dish_00531075.stl,1433884,2026-01-15 17:26:38,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\basket_30_xp.stl,basket_30_xp.stl,3601634,2026-01-15 17:23:40,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\vardagen_ladle_30581484.stl,vardagen_ladle_30581484.stl,272184,2026-01-06 19:38:32,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\krustistel_side_plate_30584326.stl,krustistel_side_plate_30584326.stl,337984,2026-01-06 19:38:20,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\hemlagad_pot_with_lid_part02_00580909.stl,hemlagad_pot_with_lid_part02_00580909.stl,793234,2026-01-06 19:38:04,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\hemlagad_pot_with_lid_part01_00580909.stl,hemlagad_pot_with_lid_part01_00580909.stl,894634,2026-01-06 19:37:48,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\fogklar_bowl_10479369.stl,fogklar_bowl_10479369.stl,274784,2026-01-06 19:37:32,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\iphone_11_pro_chip.stl,iphone_11_pro_chip.stl,1206084,2026-02-12 09:55:21,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\remotecontrol_chip.stl,remotecontrol_chip.stl,1218484,2026-02-12 09:55:22,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup_white_chip.stl,mugcup_white_chip.stl,1146084,2026-03-04 10:12:08,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup_blue_chip.stl,mugcup_blue_chip.stl,1200984,2026-03-04 10:12:09,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cleaningtools_dustpan.stl,cleaningtools_dustpan.stl,1852484,2026-03-06 13:18:53,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cleaningtools_broom.stl,cleaningtools_broom.stl,1796784,2026-03-06 13:18:30,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\trashbox_chip.stl,trashbox_chip.stl,1376384,2026-03-06 14:51:40,2026-05-11 14:48:05,False,
